# time joint1 joint2 joint3 joint4 joint5 joint6 joint7 drive_joint left_finger_joint left_inner_knuckle_joint right_outer_knuckle_joint right_finger_joint right_inner_knuckle_joint
0.335000 -0.01450616 -0.22653430 -0.01196173 -0.05080916 0.00485272 0.00531387 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.340000 -0.01472839 -0.22957411 -0.01211083 -0.05132973 0.00491949 0.00531380 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.345000 -0.01495064 -0.23260501 -0.01225908 -0.05184386 0.00498605 0.00531138 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.350000 -0.01517288 -0.23562699 -0.01240647 -0.05235155 0.00505240 0.00530661 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.355000 -0.01539513 -0.23864004 -0.01255302 -0.05285282 0.00511853 0.00529948 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.360000 -0.01561735 -0.24164415 -0.01269871 -0.05334767 0.00518445 0.00529000 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.365000 -0.01583955 -0.24463932 -0.01284355 -0.05383611 0.00525015 0.00527815 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.370000 -0.01606172 -0.24762552 -0.01298754 -0.05431816 0.00531563 0.00526395 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.375000 -0.01628384 -0.25060276 -0.01313067 -0.05479382 0.00538088 0.00524737 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.380000 -0.01650590 -0.25357103 -0.01327296 -0.05526310 0.00544591 0.00522844 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.385000 -0.01672791 -0.25653032 -0.01341440 -0.05572601 0.00551071 0.00520713 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.390000 -0.01694983 -0.25948062 -0.01355499 -0.05618257 0.00557529 0.00518346 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.395000 -0.01717168 -0.26242192 -0.01369473 -0.05663278 0.00563963 0.00515742 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.400000 -0.01739343 -0.26535422 -0.01383362 -0.05707665 0.00570374 0.00512900 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.405000 -0.01761508 -0.26827751 -0.01397167 -0.05751419 0.00576762 0.00509821 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.410000 -0.01783661 -0.27119179 -0.01410887 -0.05794542 0.00583126 0.00506505 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.415000 -0.01805803 -0.27409705 -0.01424523 -0.05837035 0.00589466 0.00502951 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.420000 -0.01827932 -0.27699329 -0.01438075 -0.05878898 0.00595782 0.00499159 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.425000 -0.01850047 -0.27988050 -0.01451543 -0.05920133 0.00602074 0.00495129 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.430000 -0.01872147 -0.28275868 -0.01464927 -0.05960741 0.00608342 0.00490862 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.435000 -0.01894232 -0.28562783 -0.01478227 -0.06000722 0.00614586 0.00486356 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.440000 -0.01916300 -0.28848794 -0.01491444 -0.06040079 0.00620805 0.00481612 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.445000 -0.01938350 -0.29133900 -0.01504578 -0.06078812 0.00626999 0.00476630 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.450000 -0.01960383 -0.29418102 -0.01517628 -0.06116922 0.00633168 0.00471410 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.455000 -0.01982396 -0.29701400 -0.01530596 -0.06154412 0.00639313 0.00465952 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.460000 -0.02004390 -0.29983792 -0.01543482 -0.06191280 0.00645433 0.00460255 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.465000 -0.02026363 -0.30265280 -0.01556285 -0.06227530 0.00651527 0.00454320 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.470000 -0.02048314 -0.30545862 -0.01569006 -0.06263162 0.00657596 0.00448146 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.475000 -0.02070243 -0.30825539 -0.01581645 -0.06298177 0.00663640 0.00441734 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.480000 -0.02092149 -0.31104311 -0.01594203 -0.06332577 0.00669658 0.00435083 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.485000 -0.02114032 -0.31382178 -0.01606679 -0.06366362 0.00675651 0.00428194 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.490000 -0.02135889 -0.31659139 -0.01619075 -0.06399535 0.00681618 0.00421066 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.495000 -0.02157721 -0.31935195 -0.01631389 -0.06432095 0.00687560 0.00413700 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.500000 -0.02179527 -0.32210345 -0.01643624 -0.06464046 0.00693475 0.00406095 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.505000 -0.02201306 -0.32484591 -0.01655778 -0.06495386 0.00699365 0.00398252 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.510000 -0.02223057 -0.32757931 -0.01667853 -0.06526119 0.00705229 0.00390170 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.515000 -0.02244780 -0.33030366 -0.01679848 -0.06556245 0.00711066 0.00381850 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.520000 -0.02266474 -0.33301896 -0.01691764 -0.06585765 0.00716878 0.00373291 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.525000 -0.02288138 -0.33572522 -0.01703602 -0.06614681 0.00722663 0.00364495 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.530000 -0.02309772 -0.33842244 -0.01715361 -0.06642994 0.00728422 0.00355460 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.535000 -0.02331374 -0.34111061 -0.01727042 -0.06670706 0.00734155 0.00346187 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.540000 -0.02352945 -0.34378974 -0.01738645 -0.06697817 0.00739861 0.00336676 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.545000 -0.02374483 -0.34645983 -0.01750171 -0.06724328 0.00745542 0.00326927 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.550000 -0.02395988 -0.34912090 -0.01761620 -0.06750242 0.00751195 0.00316940 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.555000 -0.02417460 -0.35177293 -0.01772993 -0.06775559 0.00756822 0.00306715 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
0.560000 -0.02438896 -0.35441593 -0.01784289 -0.06800281 0.00762423 0.00296253 0.00000000 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182 0.61818182
