# time panda_joint1 panda_joint2 panda_joint3 panda_joint4 panda_joint5 panda_joint6 panda_joint7 panda_finger_joint1 panda_finger_joint2
0.290000 -0.00676357 -0.45029113 -0.00918949 -2.05948772 0.00089816 3.04913757 0.74100000 0.04000000 0.04000000
0.295000 -0.00687291 -0.44823012 -0.00933751 -2.05852041 0.00091275 3.04936859 0.74100000 0.04000000 0.04000000
0.300000 -0.00698209 -0.44616760 -0.00948526 -2.05754937 0.00092731 3.04960040 0.74100000 0.04000000 0.04000000
0.305000 -0.00709111 -0.44410358 -0.00963276 -2.05657462 0.00094186 3.04983300 0.74100000 0.04000000 0.04000000
0.310000 -0.00719997 -0.44203805 -0.00978000 -2.05559616 0.00095638 3.05006638 0.74100000 0.04000000 0.04000000
0.315000 -0.00730867 -0.43997103 -0.00992699 -2.05461397 0.00097088 3.05030054 0.74100000 0.04000000 0.04000000
0.320000 -0.00741721 -0.43790252 -0.01007371 -2.05362807 0.00098536 3.05053547 0.74100000 0.04000000 0.04000000
0.325000 -0.00752560 -0.43583252 -0.01022018 -2.05263845 0.00099982 3.05077118 0.74100000 0.04000000 0.04000000
0.330000 -0.00763383 -0.43376104 -0.01036639 -2.05164511 0.00101426 3.05100767 0.74100000 0.04000000 0.04000000
0.335000 -0.00774191 -0.43168809 -0.01051234 -2.05064804 0.00102868 3.05124492 0.74100000 0.04000000 0.04000000
0.340000 -0.00784983 -0.42961367 -0.01065803 -2.04964726 0.00104307 3.05148293 0.74100000 0.04000000 0.04000000
0.345000 -0.00795760 -0.42753779 -0.01080347 -2.04864275 0.00105745 3.05172172 0.74100000 0.04000000 0.04000000
0.350000 -0.00806522 -0.42546045 -0.01094865 -2.04763452 0.00107180 3.05196126 0.74100000 0.04000000 0.04000000
0.355000 -0.00817269 -0.42338166 -0.01109357 -2.04662257 0.00108613 3.05220155 0.74100000 0.04000000 0.04000000
0.360000 -0.00828001 -0.42130142 -0.01123823 -2.04560689 0.00110044 3.05244261 0.74100000 0.04000000 0.04000000
0.365000 -0.00838718 -0.41921974 -0.01138263 -2.04458748 0.00111473 3.05268441 0.74100000 0.04000000 0.04000000
0.370000 -0.00849420 -0.41713663 -0.01152678 -2.04356435 0.00112900 3.05292696 0.74100000 0.04000000 0.04000000
0.375000 -0.00860108 -0.41505208 -0.01167066 -2.04253749 0.00114325 3.05317026 0.74100000 0.04000000 0.04000000
0.380000 -0.00870781 -0.41296611 -0.01181429 -2.04150690 0.00115747 3.05341431 0.74100000 0.04000000 0.04000000
0.385000 -0.00881439 -0.41087871 -0.01195766 -2.04047259 0.00117168 3.05365909 0.74100000 0.04000000 0.04000000
0.390000 -0.00892083 -0.40878990 -0.01210077 -2.03943454 0.00118586 3.05390461 0.74100000 0.04000000 0.04000000
0.395000 -0.00902713 -0.40669968 -0.01224362 -2.03839276 0.00120002 3.05415086 0.74100000 0.04000000 0.04000000
0.400000 -0.00913328 -0.40460806 -0.01238622 -2.03734725 0.00121416 3.05439784 0.74100000 0.04000000 0.04000000
0.405000 -0.00923930 -0.40251503 -0.01252855 -2.03629800 0.00122828 3.05464555 0.74100000 0.04000000 0.04000000
0.410000 -0.00934517 -0.40042061 -0.01267063 -2.03524502 0.00124238 3.05489399 0.74100000 0.04000000 0.04000000
0.415000 -0.00945091 -0.39832480 -0.01281244 -2.03418831 0.00125646 3.05514315 0.74100000 0.04000000 0.04000000
0.420000 -0.00955650 -0.39622761 -0.01295400 -2.03312786 0.00127051 3.05539303 0.74100000 0.04000000 0.04000000
0.425000 -0.00966197 -0.39412903 -0.01309530 -2.03206367 0.00128455 3.05564362 0.74100000 0.04000000 0.04000000
0.430000 -0.00976729 -0.39202908 -0.01323634 -2.03099574 0.00129856 3.05589493 0.74100000 0.04000000 0.04000000
0.435000 -0.00987248 -0.38992776 -0.01337712 -2.02992407 0.00131255 3.05614695 0.74100000 0.04000000 0.04000000
